No,Direc.,Polymer,Shape,a  [mm],b  [mm],c  [mm],Density  [g/cm³],dequi [m],CSF,Powers ,Kin.  viscosity  [m²/s],1.1,1.2,2.1,2.2,3.1,3.2,Mean  Velocity 
87,rising,EPS,Foam,4.08,3.75,2.46,0.02,0.0042,0.2684,4.8,1.00E-06,8.08,8.97,6.62,7.05,7.47,7.89,7.68
89,rising,PP,Fragment,5.25,5.11,1.91,0.8654,0.004,0.1599,5.6,1.00E-06,4.13,3.92,4.19,4.05,3.61,3.63,3.92
91,rising,PE,Pellet,3.98,3.41,2.22,0.5,0.0034,0.4031,5.7,1.00E-06,8.3,8.64,8.2,8.5,8.61,8.94,8.53
92,rising,PE,Pellet,9.79,7.88,4.53,0.8436,0.0049,0.3165,5.9,1.00E-06,3.82,3.84,4.64,4.18,4.6,4.52,4.26
94,rising,PE,Pellet,4.3,4.29,2.25,0.8944,0.0029,0.5529,5.5,1.00E-06,4.31,4.62,4.67,4.54,3.83,4.22,4.36
96,rising,PE,Film,4.11,3.91,3.69,0.945,0.0011,0.0093,4.2,1.00E-06,0.34,0.23,0.22,0.19,0.22,0.22,0.24
97,rising,PE,Foam,8.16,1.52,1.52,0.765,0.0012,0.0115,5.6,1.00E-06,2.27,2.27,2.55,2.21,2.24,1.89,2.24
98,rising,EPS,Foam,11.11,4.97,0.02,0.02,0.0015,0.0332,4.8,1.00E-06,4.28,4.62,3.76,4.5,2.58,2.87,3.77
100,rising,PE,Pellet,16.93,15.21,1.38,0.8944,0.0029,0.4883,5.6,1.00E-06,3.7,3.56,3.82,3.78,4.1,4.57,3.92
101,rising,PP,Fragment,12.51,6.81,0.11,0.8464,0.0031,0.3118,5.2,1.00E-06,3.58,3.81,3.18,3.1,3.19,2.96,3.3
102,rising,PP,Pellet,7.07,4.11,0.05,0.8542,0.004,0.5374,5.8,1.00E-06,7.02,7.61,6.8,8.11,7.42,8.05,7.5
103,rising,PP,Pellet,9.16,6.88,0.68,0.8464,0.003,0.5699,5.1,1.00E-06,5.68,5.68,5.69,5.82,5.61,5.71,5.7
105,rising,EPS,Foam,3.94,3.38,0.68,0.02,0.0019,0.014,4.6,1.00E-06,2.89,2.8,2.28,2.17,1.98,2.06,2.36
106,rising,PP,Film,7.31,5.71,0.31,0.5,0.0029,0.0097,5.2,1.00E-06,1.67,1.44,1.59,1.81,1.32,1.58,1.57
107,rising,PE,Pellet,8.92,6.09,0.81,0.915,0.0034,0.6289,5.5,1.00E-06,4.92,5.43,5.01,4.61,4.48,3.94,4.73
108,rising,PE,Fragment,13.35,7.31,0.03,0.9676,0.0021,0.1863,5.3,1.00E-06,1.37,1.45,1.25,1.28,1.32,1.44,1.35
110,rising,PE,Fragment,13.38,4.98,0.04,0.949,0.0035,0.0857,5.8,1.00E-06,1.41,1.41,1.7,2,1.32,1.34,1.53
111,rising,PE,Film,14.06,6.99,0.06,0.9288,0.0021,0.0119,4.4,1.00E-06,0.51,0.4,0.53,0.67,0.64,0.56,0.55
